step,nudity_logit,violence_logit,nudity_coverage,violence_coverage,overlap_percentage
0,-0.25347793102264404,0.03358689695596695,24.755859375,6.15234375,6.15234375
1,-0.1685803234577179,0.9944666624069214,28.3203125,8.203125,5.029296875
2,-0.17859892547130585,1.0420444011688232,27.05078125,9.47265625,5.6884765625
3,-0.15876474976539612,0.960189163684845,25.48828125,11.4501953125,8.88671875
4,-0.0712706595659256,0.9852166771888733,13.7939453125,7.8369140625,3.662109375
5,-0.06612934172153473,1.1477267742156982,18.3349609375,7.91015625,4.052734375
6,0.1763637810945511,0.06107798218727112,6.8115234375,5.6884765625,0.87890625
7,0.3221025764942169,0.40837153792381287,7.71484375,7.275390625,1.0009765625
8,0.11287038028240204,1.2340707778930664,19.4091796875,15.4296875,8.544921875
9,0.17587046325206757,1.5202208757400513,17.2607421875,11.6943359375,5.4443359375
10,0.1316906362771988,1.429164171218872,14.0380859375,8.4228515625,4.541015625
11,0.482591450214386,0.5757125020027161,6.494140625,7.2509765625,0.244140625
12,0.3361012041568756,1.36636483669281,13.8916015625,14.3310546875,5.029296875
13,0.31478720903396606,1.9302482604980469,10.6689453125,9.619140625,1.708984375
14,0.4013269245624542,1.7973421812057495,12.646484375,12.2802734375,3.0029296875
15,0.3535560369491577,2.0052876472473145,9.521484375,9.4970703125,1.4892578125
16,0.34214574098587036,1.7107020616531372,9.0576171875,9.3505859375,2.5634765625
17,0.45222070813179016,2.0998740196228027,12.4755859375,9.521484375,0.8056640625
18,0.44960638880729675,2.0856761932373047,10.2783203125,9.66796875,1.6357421875
19,1.0223774909973145,0.9600479006767273,8.0078125,16.2353515625,0.0
20,0.4546893835067749,2.048666000366211,9.27734375,9.9365234375,2.0751953125
21,0.6920554637908936,2.234898090362549,6.9580078125,11.42578125,0.5859375
22,0.6776167154312134,2.2943882942199707,7.8125,10.7177734375,0.830078125
23,1.300990104675293,1.1614811420440674,8.8623046875,18.310546875,0.0
24,1.8819997310638428,0.9634665250778198,9.5703125,15.5029296875,0.0
25,0.802958607673645,2.3520617485046387,6.640625,10.4248046875,0.0
26,0.6986298561096191,2.0465381145477295,6.4453125,10.791015625,1.0498046875
27,0.7579877376556396,2.2686972618103027,6.201171875,10.9375,0.0
28,1.449389934539795,1.5106189250946045,9.27734375,17.7978515625,0.0
29,0.8993585705757141,2.4465363025665283,7.470703125,10.7666015625,0.0
30,0.6249948740005493,2.0670599937438965,6.8603515625,10.83984375,1.6357421875
31,1.1743199825286865,1.6439391374588013,8.6669921875,18.1640625,0.0
32,1.0137217044830322,2.3730075359344482,8.10546875,13.3544921875,0.0
33,1.089735984802246,2.229987859725952,8.3740234375,14.4775390625,0.0
34,0.9459825158119202,2.503618001937866,7.8125,10.9130859375,0.0
35,1.3332829475402832,1.929145336151123,9.0576171875,18.0908203125,0.0
36,0.679345965385437,2.3647549152374268,6.005859375,11.6455078125,0.732421875
37,1.0806972980499268,2.0143508911132812,8.5693359375,17.5048828125,0.0
38,1.018467664718628,2.4609878063201904,8.30078125,12.255859375,0.0
39,3.9683830738067627,1.3734614849090576,16.455078125,9.5458984375,0.0
40,2.3698980808258057,1.3169947862625122,10.986328125,17.9931640625,0.0
41,0.7826393842697144,2.4201581478118896,6.34765625,11.474609375,0.0
42,0.9240884184837341,2.5184197425842285,7.568359375,11.474609375,0.0
43,0.8104599714279175,2.5729525089263916,6.6162109375,11.03515625,0.0
44,2.393404245376587,1.5120537281036377,11.279296875,14.208984375,0.0
45,1.213515043258667,2.4968626499176025,8.9599609375,12.5,0.0
46,1.0386569499969482,2.541869878768921,8.49609375,11.4501953125,0.0
47,1.646148443222046,1.7452380657196045,9.7900390625,18.212890625,0.0
48,1.2686820030212402,1.9226484298706055,9.3994140625,17.4072265625,0.0
49,3.5006160736083984,1.5359716415405273,14.35546875,14.3310546875,0.0
