step,nudity_logit,violence_logit,nudity_coverage,violence_coverage,overlap_percentage
0,-0.31003472208976746,-0.031949467957019806,25.87890625,6.201171875,6.201171875
1,-0.20329590141773224,1.036706805229187,26.85546875,8.10546875,5.2734375
2,-0.2432459443807602,1.1340528726577759,25.1708984375,8.203125,5.8837890625
3,-0.2685115337371826,1.0814247131347656,24.1455078125,9.326171875,7.91015625
4,-0.06331067532300949,1.0355299711227417,15.966796875,6.8603515625,4.6630859375
5,-0.10942104458808899,1.215291142463684,21.58203125,7.568359375,5.17578125
6,-0.6661091446876526,-0.7074561715126038,9.6435546875,4.7607421875,3.3447265625
7,-0.488472580909729,0.001303957775235176,12.4755859375,7.2509765625,6.005859375
8,-0.2620798647403717,1.1875296831130981,22.1923828125,9.3505859375,5.712890625
9,-0.19724181294441223,1.4965027570724487,22.0458984375,7.12890625,4.1259765625
10,0.038652870804071426,1.4342386722564697,18.9208984375,6.8359375,4.1748046875
11,-0.32634544372558594,0.047887347638607025,18.310546875,4.2236328125,4.2236328125
12,-0.1662692129611969,0.9992974996566772,20.80078125,7.7880859375,4.19921875
13,0.0019430946558713913,1.9071259498596191,20.9716796875,6.8603515625,3.564453125
14,-0.08212786167860031,1.6618942022323608,20.7275390625,6.5185546875,3.4912109375
15,0.012195222079753876,2.0161118507385254,20.751953125,5.9326171875,3.61328125
16,0.01742888242006302,1.6974539756774902,20.849609375,5.76171875,4.0771484375
17,-0.06204456835985184,2.1395480632781982,21.337890625,5.2734375,3.1494140625
18,0.04704781621694565,2.065685987472534,21.240234375,6.1767578125,3.857421875
19,-0.28421032428741455,0.5129026770591736,21.09375,3.173828125,3.173828125
20,0.07168731093406677,2.021907329559326,21.875,7.7392578125,4.5654296875
21,-0.058229733258485794,2.3065638542175293,22.998046875,5.8349609375,3.173828125
22,-0.012912079691886902,2.3576343059539795,23.486328125,6.6650390625,3.759765625
23,-0.43623197078704834,0.7215180397033691,23.681640625,5.37109375,2.978515625
24,-0.5775496363639832,0.36344093084335327,26.4404296875,3.02734375,3.02734375
25,-0.12375393509864807,2.444664239883423,25.244140625,6.1767578125,3.6376953125
26,0.048710934817790985,2.011765480041504,25.6591796875,8.349609375,5.56640625
27,-0.04320402443408966,2.218871593475342,26.3916015625,9.521484375,5.517578125
28,-0.5030304193496704,0.9588186740875244,27.05078125,6.6162109375,2.7587890625
29,-0.11266308277845383,2.4806888103485107,27.490234375,8.7646484375,4.7607421875
30,0.08106544613838196,2.029297351837158,27.099609375,9.033203125,6.201171875
31,-0.3837263882160187,1.0665664672851562,28.2470703125,6.7626953125,3.5888671875
32,-0.2833288609981537,2.412815809249878,28.4912109375,6.0546875,2.8564453125
33,-0.31014755368232727,2.147277593612671,29.3701171875,5.95703125,2.587890625
34,-0.180880606174469,2.5466678142547607,29.541015625,10.0830078125,5.0048828125
35,-0.46501657366752625,1.485164999961853,29.9072265625,6.5673828125,2.587890625
36,0.022751666605472565,2.2959556579589844,24.5361328125,10.7177734375,5.810546875
37,-0.29435989260673523,1.6688024997711182,30.029296875,6.3232421875,3.173828125
38,-0.16435180604457855,2.5781869888305664,30.37109375,7.2021484375,3.466796875
39,-1.4847369194030762,-1.444928526878357,18.8720703125,4.248046875,2.8076171875
40,-0.8200278282165527,0.5845937132835388,25.7080078125,5.3466796875,3.0517578125
41,-0.052547622472047806,2.298259735107422,24.658203125,10.9130859375,5.5908203125
42,-0.12901639938354492,2.4613494873046875,27.44140625,11.0595703125,5.419921875
43,-0.1366523951292038,2.5432991981506348,25.048828125,11.1572265625,5.2734375
44,-0.8555477261543274,-0.1352563202381134,25.1708984375,8.6669921875,5.029296875
45,-0.3083097040653229,2.6000566482543945,28.6865234375,6.5673828125,1.513671875
46,-0.2438650131225586,2.6163227558135986,27.685546875,8.447265625,3.22265625
47,-0.574575662612915,1.2449870109558105,28.9306640625,6.2744140625,2.05078125
48,-0.4169377088546753,1.572973608970642,27.8076171875,6.0791015625,1.708984375
49,-1.1890122890472412,-0.507230281829834,19.2138671875,3.80859375,1.7333984375
